device: NVIDIA GeForce RTX 4080 Laptop GPU  (sm_89, 58 SMs, 12.0 GB)
quantization rmse @ 4096x4096:  q8 2.27e-03   q4 4.08e-02   (weights ~U[-1,1])
quantization rmse @ 8192x8192:  q8 2.27e-03   q4 4.08e-02   (weights ~U[-1,1])
quantization rmse @ 14336x4096:  q8 2.27e-03   q4 4.08e-02   (weights ~U[-1,1])
quantization rmse @ 4096x14336:  q8 2.27e-03   q4 4.08e-02   (weights ~U[-1,1])

pure-read ceiling (max of before/after): 419.7 GB/s  = MBU denominator

shape        kernel         ms       GB/s     MBU%    x fp16   max-rel-err
4096x4096    fp16       0.0824      407.8     97.1     1.00x   1.02e-05
4096x4096    q8         0.0426      394.4     94.0     1.93x   3.99e-06
4096x4096    q4         0.0229      379.6     90.4     3.60x   2.72e-06

8192x8192    fp16       0.3386      396.5     94.5     1.00x   1.86e-05
8192x8192    q8         0.1625      413.5     98.5     2.08x   7.53e-06
8192x8192    q4         0.0830      417.4     99.4     4.08x   8.24e-06

14336x4096   fp16       0.2819      416.8     99.3     1.00x   1.04e-05
14336x4096   q8         0.1430      411.5     98.0     1.97x   3.83e-06
14336x4096   q4         0.0734      413.6     98.5     3.84x   3.39e-06

4096x14336   fp16       0.2950      398.3     94.9     1.00x   2.33e-05
4096x14336   q8         0.1528      384.7     91.7     1.93x   1.17e-05
4096x14336   q4         0.0867      349.9     83.4     3.40x   6.08e-06

done. all kernels passed the double-precision correctness check.
