device: NVIDIA GeForce RTX 4080 Laptop GPU  (sm_89, 58 SMs, 12.0 GB)
measured ceiling:  copy 362.2 GB/s   pure-read 385.2 GB/s   (MBU denominator = pure-read)

shape        kernel          ms       GB/s     MBU%    GFLOP/s   max-rel-err
4096x4096    naive       0.4614       72.8     18.9       72.7   3.12e-05
4096x4096    warp        0.0842      398.7    103.5      398.4   9.03e-06
4096x4096    vec         0.0823      408.2    106.0      407.9   1.02e-05

8192x8192    naive       1.5263       88.0     22.8       87.9   8.14e-05
8192x8192    warp        0.3492      384.5     99.8      384.3   2.50e-05
8192x8192    vec         0.3400      394.8    102.5      394.7   1.86e-05

14336x4096   naive       1.1664      100.7     26.2      100.7   4.37e-05
14336x4096   warp        0.3039      386.6    100.4      386.4   1.19e-05
14336x4096   vec         0.2958      397.3    103.1      397.0   1.04e-05

4096x14336   naive       1.5906       73.9     19.2       73.8   1.27e-04
4096x14336   warp        0.3055      384.6     99.9      384.5   2.58e-05
4096x14336   vec         0.2839      413.8    107.4      413.6   2.33e-05

done. all kernels passed the double-precision correctness check.
